#cata#,a
CCTV4K,http://124.222.114.206/bj4kdl.php
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西班牙语,https://0472.org/hls/cgtnx.m3u8
CGTN阿拉伯语,https://0472.org/hls/cgtna.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
#cata#,b
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
北京卫视,http://124.222.114.206/bj4kdl.php
江苏卫视,http://124.222.114.206/zgst.php?id=jsws
辽宁卫视,http://103.96.72.37:4266/tv/bfgd.php?id=058
浙江卫视,http://103.96.72.37:4266/tv/zj.php?id=zjws&r=1080&v=v2
北京卫视,http://103.96.72.37:4266/tv/bjtv.php?id=bjws4k
北京卫视,http://103.96.72.37:4266/tv/bjtv.php?id=bjws
海南卫视,http://103.96.72.37:4266/tv/hainan.php?id=hnws
三沙卫视,http://103.96.72.37:4266/tv/hainan.php?id=ssws
新疆卫视,http://103.96.72.37:4266/tv/xinjiang.php?id=xjws
甘肃卫视,http://103.96.72.37:4266/tv/gs.php?id=gsws
贵州卫视,http://103.96.72.37:4266/tv/gz.php?id=gzws
农林卫视,http://103.96.72.37:4266/tv/SX.php?id=1126
河南卫视,http://103.96.72.37:4266/tv/henan.php?id=hnws
西藏卫视,http://103.96.72.37:4266/tv/xizang.php?id=1
